Aruba;101;189;14;1;101;1;2;10
Australia;19,138;7,634,648;76;1,329;14;157;224;11
Austria;8,08;83,145;29;99;81;85;289;12
Azerbaijan;8,041;85,355;34;74;108;41;29;13
Bahamas;304;13,162;28;17;18;4;12;14
Bahrain;640;623;8;11;0;3;7;15
Bangladesh;137,439;136,305;17;486;251;187;157;16
Barbados;267;441;21;1;267;1;3;17
Belarus;10,187;207,013;42;119;84;35;35;18
Belgium;10,249;30,553;7;589;17;46;574;19
Belize;226;22,29;61;6;40;6;9;20
Benin;6,272;115,828;39;78;80;36;38;21
Bermuda;63;63;8;1;63;3;1;22
Bhutan;2,085;38,04;45;19;110;5;18;23
Bolivia;8,329;1,069,350;103;100;80;69;95;24
Bosnia-Herzegovina;3,977;51,295;131;3;1,301;26;22;25
Botswana;1,541;559,502;156;23;71;27;67;26
Brazil;170,406;8,480,395;29;9,847;17;762;4,243;27
British Virgin Islands;24;166;6;4;5;1;1;28
Brunei Darussalam;328;5,901;38;4;81;2;5;29
Bulgaria;7,949;111,307;21;261;30;44;41;30
Burkina Faso;11,535;275,747;28;353;33;118;205;31
Burundi;6,356;25,227;15;114;58;15;15;32
Cambodia;13,104;179,492;11;1,604;8;26;27;33
Cameroon;14,876;465,765;97;49;255;104;166;34
Canada;30,757;9,458,886;40;5,984;5;327;884;35
Cape Verde;427;4,072;21;9;48;11;16;36
Cayman Islands;38;279;10;3;14;1;3;37
Central African Republic;3,717;622,868;111;51;69;33;37;38
Chad;7,885;1,243,139;298;14;527;38;51;39
Chile;15,211;721,229;50;292;50;49;62;40
China;1,275,133;9,198,103;62;2,37;523;6,769;4,707;41
Colombia;42,105;1,141,569;33;1,059;34;352;783;42
Commonwealth of Dominica;71;769;9;10;7;3;17;43
Comoros;706;2,046;23;4;140;12;93;44
Congo;3,018;343,235;86;46;60;22;22;45
Congo, Democratic Republic;50,948;2,313,414;124;150;347;162;182;46
Cook Islands;20;688;7;15;1;1;1;47
Costa Rica;4,024;51,015;25;82;46;16;32;48
Croatia;4,654;56,406;10;544;8;55;121;49
Cuba;11,199;111,199;26;169;66;109;140;50
Cyprus;784;9,273;5;414;2;4;73;51
Czech Republic;10,272;78,616;4;6,258;2;118;131;52
Denmark;5,32;42,484;12;276;19;77;429;53
Djibouti;632;20,903;65;5;128;6;5;54
Dominican Republic;8,373;48,092;40;30;267;31;42;55
East Timor;737;14,923;29;18;46;6;19;56
Ecuador;12,646;246,7;16;931;13;52;55;57
Egypt;67,884;968,071;65;230;281;77;151;58
El Salvador;6,278;20,279;9;263;23;23;43;59
Equatorial Guinea;457;27,104;62;7;127;3;15;60
Eritrea;3,659;121,863;57;38;94;11;9;61
Estonia;1,393;43,179;13;251;5;21;42;62
Ethiopia;62,908;1,123,714;46;523;119;206;407;63
Faeroe Islands;46;1,408;10;15;3;3;11;64
Falkland Islands;2;11,988;77;2;1;0;1;65
Federated State of Micronesia;123;675;13;4;27;9;17;66
Fiji;814;18,254;35;15;54;5;15;67
Finland;5,172;317,001;27;448;12;54;101;68
France;59,238;547,12;4;36,585;2;441;348;69
French Guiana;165;83,634;63;21;7;4;16;70
French Polynesia;233;3,745;10;39;6;4;36;71
Gabon;1,23;265,146;76;46;27;20;35;72
Gambia;1,303;10,838;17;37;32;14;96;73
Georgia;5,262;69,236;29;80;59;50;61;74
Germany;82,017;356,027;28;446;184;607;1,132;75
Ghana;19,306;231,73;46;110;172;126;175;76
Gibraltar;27;5;2;1;27;1;1;77
Greece;10,61;131,891;11;1,034;10;121;1,103;78
Greenland;56;377,972;149;17;3;1;14;79
Grenada;94;325;18;1;94;3;6;80
Guadeloupe;428;1,751;8;31;14;4;33;81
Guam;155;546;2;203;1;1;27;82
Guatemala;11,385;108,523;18;329;32;36;46;83
Guernsey;--;85;9;1;56;1;5;84
Guinea;8,154;245,86;86;33;257;33;44;85
Guinea-Bissau;1,199;34,106;30;37;33;13;19;86
Guyana;761;211,156;145;10;79;9;11;87
Haiti;8,142;26,876;14;135;57;13;15;88
Holy See;1;1;1;1;1;0;--;89
Honduras;6,417;112,079;6;3,696;2;41;53;90
Hong Kong;6,86;1,054;8;18;367;18;13;91
Hungary;9,968;92,046;5;3,158;3;77;1,426;92
Iceland;279;91,116;27;123;2;5;29;93
India;1,008,937;3,209,716;25;5,209;194;3,2;3,57;94
Indonesia;212,092;1,898,776;5;69,349;3;378;443;95
Iran;70,33;1,590,351;80;250;260;182;193;96
Iraq;22,946;430,575;151;19;1,258;38;24;97
Ireland;3,803;69,474;4;3,44;1;52;189;98
Isle of Man;75;572;5;24;3;2;8;99
Israel;6,04;21,878;38;15;411;8;91;100
Italy;57,53;299,287;6;8,105;7;403;1,349;101
Ivory Coast;16,013;320,329;42;185;89;66;76;102
Jamaica;2,576;11,06;28;14;185;17;18;103
Japan;127,096;371,705;10;3,373;38;217;995;104
Jersey;--;119;11;1;87;1;12;105
Jordan;4,913;88,362;48;39;141;16;26;106
Kazakhstan;16,172;2,619,352;101;256;62;47;34;107
Kenya;30,669;579,617;9;6,624;4;72;77;108
Kiribati;83;1,073;6;28;3;4;17;109
Korea;46,74;98,977;21;227;204;83;129;110
Korea, Dem. People's Rep. of;22,268;122,44;30;136;169;35;24;111
Kuwait;1,914;17,259;59;5;445;2;27;112
Kyrgyz Republic;4,921;184,763;58;55;89;49;97;113
Lao People's Democratic Republic;5,279;230,23;42;133;39;15;17;114
Latvia;2,421;64,196;10;585;4;35;76;115
Lebanon;3,496;10,328;20;26;128;13;17;116
Lesotho;2,035;30,582;55;10;209;10;15;117
Liberia;2,913;96,166;42;54;70;17;27;118
Libyan Arab Jamahiriya;5,29;1,611,363;254;25;223;33;39;119
Liechtenstein;33;160;4;11;3;1;9;120
Lithuania;3,696;64,995;36;51;69;46;98;121
Luxembourg;437;2,587;5;118;4;3;82;122
Macao;444;19;3;3;142;3;1;123
Macedonia;2,034;24,702;14;123;16;21;30;124
Madagascar;15,97;592,965;22;1,242;12;74;98;125
Malawi;11,308;94,958;3;9,219;1;31;34;126
Malaysia;22,218;329,941;19;920;24;101;123;127
Maldives;291;189;3;21;13;0;58;128
Mali;11,351;1,248,137;68;272;39;105;155;129
Malta;390;315;2;67;6;2;60;130
Marshall Islands;51;219;3;33;2;2;2;131
Martinique;383;1,146;34;1;383;1;32;132
Mauritania;2,665;1,036,905;140;53;48;17;27;133
Mauritius;1,161;1,993;3;186;6;5;85;134
Mayotte;153;372;19;1;155;3;3;135
Mexico;98,872;1,943,018;28;2,414;40;483;786;136
Monaco;33;10;3;1;34;2;4;137
Mongolia;2,533;1,546,294;265;22;108;21;24;138
Montserrat;4;103;10;1;4;0;1;139
Morocco (includes Western Sahara);29,878;669,159;107;58;508;85;78;140
